No ;Muestra;Garantía;Estado actual SAP;Cobertura;Nombre producto ;Intermediario ;TPID Deudor;ID Deudor;Nombre Deudor; Valor desembolso Anexo 5 ;AUDITOR; SALDO DE CREDITO ; SALDO GARANTIZADO ;FECHA DE CORTE DEL SALDO;FECHA INICIO DE MORA;Clasificación Motivo de anulación (Incumplimiento);Fecha de anulacion;Reactivación;Ciudad
1;1 Muestra;5589361;Anulada;80;EMP201 UNIDOS POR COLOMBIA PYMES AL 80%;BANCOLOMBIA;NIT;9006642064;COMPAÑIA ALIMENTOS SHALOM SAS;$ 179.000.000;No aplica;$ 89.500.000;$ 71.600.000;12/12/2020;-;Periodo de gracia no cumple con los requisitos exigidos;5/03/2021;NO;BOGOTA
2;1 Muestra;5590244;Anulada;80;EMP201 UNIDOS POR COLOMBIA PYMES AL 80%;BANCOLOMBIA;NIT;9009536382;REDEX INGENIEROS SAS;$ 200.000.000;No aplica;$ 11.032.021;$ 8.825.617;11/03/2021;-;No presenta Soporte Art 311;5/03/2021;NO;ANTIOQUIA
3;1 Muestra;6119931;Anulada;80;EMP203 UNIDOS POR COLOMBIA TRABINDEPAL 80%;BANCOLOMBIA;CC;1039461706;ELIZABETH MEJIA;$ 1.229.640;No aplica;$ 1.229.640;$ 983.712;31/08/2020;-;No presenta soporte documental de pago PILA;19/06/2020;NO;BOGOTA
4;1 Muestra;5652251;Anulada;90;EMP202 UNIDOS POR COLOMBIA NOMINAS PYMES AL 90%;BANCOLOMBIA;NIT;9007387935;CONTEXTO INMOBILIARIO GMR SAS;$ 3.854.969;No aplica;$ 3.469.475;$ 3.122.528;28/02/2021;-;No presenta soporte documental comisión ;5/03/2021;NO;ANTIOQUIA
5;1 Muestra;5757640;Anulada;90;EMP202 UNIDOS POR COLOMBIA NOMINAS PYMES AL 90%;BANCOLOMBIA;NIT;9011737577;LOGISTICA Y SERVICIOS LOGYSERV;$ 18.250.000;No aplica;$ 4.369.699;$ 3.932.729;30/11/2020;-;No presenta soporte documental de pago PILA;5/03/2021;NO;MAGDALENA
6;1 Muestra;5688505;Anulada;80;EMP201 UNIDOS POR COLOMBIA PYMES AL 80%;BANCOLOMBIA;CC;1112619645;GARCIA MONCADA DANNA MARCELA;$ 12.300.000;No aplica;$ 12.297.974;$ 9.838.379;31/12/2020;4/12/2020;No presenta Soporte Art 311;5/03/2021;NO;ANTIOQUIA
7;1 Muestra;5731697;Anulada;80;EMP203 UNIDOS POR COLOMBIA TRABINDEPAL 80%;BANCOLOMBIA;CC;5211530;ALVARO LEON MUÑOZ MUÑOZ;$ 14.500.000;No aplica;$ 14.440.151;$ 11.552.121;31/10/2020;-;No presenta soporte documental de pago PILA;9/04/2021;NO;NARIÑO
8;1 Muestra;6117469;Anulada;70;EMP219 UNIDOS POR COLOMBIA MICRO AL 70%;BANCOLOMBIA;CC;1121859396;ALVARO JAVIER BARRERA SUAREZ;$ 5.000.000;No aplica;$ 3.749.335;$ 2.624.535;31/03/2021;-;No presenta Soporte Art 311;31/03/2021;NO;META
9;1 Muestra;5930623;Extinguida - Saldada;80;EMP201 UNIDOS POR COLOMBIA PYMES AL 80%;BANCOLOMBIA;NIT;9002352191;GREEN SEAL COMPANY LTDA;$ 275.610.750;No aplica;$ 35.000;$ 28.000;30/04/2021;-;No presenta Soporte Art 311;31/03/2021;Si;VALLE
10;1 Muestra;5815558;Anulada;90;EMP202 UNIDOS POR COLOMBIA NOMINAS PYMES AL 90%;BANCOLOMBIA;NIT;8600706245;HOLGUIN Y ASOCIADOS PUBLICIDAD;$ 19.531.250;No aplica;$ 11.032.021;$ 9.928.819;11/03/2021;-;No presenta soporte documental de pago PILA;5/03/2021;NO;BOGOTA
11;1 Muestra;6676704;Anulada;80;EMP201 UNIDOS POR COLOMBIA MED EMPRESA AL 80%;BANCOLOMBIA;NIT;9004380418;SOLUCIONES INTEGRALES UNIVERSA;$ 30.000.000;No aplica;$ 11.032.021;$ 8.825.617;11/03/2021;-;Incumplimiento en tamaño del deudor;5/03/2021;NO;ANTIOQUIA
12;1 Muestra;5758712;Anulada;90;EMP202 UNIDOS POR COLOMBIA NOMINAS PYMES AL 90%;BANCOLOMBIA;NIT;8000682065;COLBORDADOS LTDA;$ 10.000.000;No aplica;$ 9.000.001;$ 8.100.001;11/03/2021;-;No presenta soporte documental de pago PILA;5/03/2021;NO;ANTIOQUIA
13;1 Muestra;5802824;Anulada;90;EMP202 UNIDOS POR COLOMBIA NOMINAS PYMES AL 90%;BANCOLOMBIA;NIT;8001114991;SANIDAD AMBIENTAL S A;$ 15.725.000;No aplica;$ 11.032.021;$ 9.928.819;11/03/2021;-;No presenta soporte documental de pago PILA;5/03/2021;NO;VALLE
14;1 Muestra;5757047;Anulada;90;EMP202 UNIDOS POR COLOMBIA NOMINAS PYMES AL 90%;BANCOLOMBIA;NIT;9012110606;EQUILIBROOM SAS;$ 10.544.210;No aplica;$ 9.688.557;$ 8.719.701;30/11/2020;-;No presenta Soporte Art 311;5/03/2021;NO;ATLANTICO
15;1 Muestra;5639196;Anulada;90;EMP202 UNIDOS POR COLOMBIA NOMINAS PYMES AL 90%;BANCOLOMBIA;NIT;9004089563;VYSALUD EN CASA SAS;$ 89.000.000;No aplica;$ 86.033.334;$ 77.430.001;30/11/2020;-;No presenta soporte documental de pago PILA;5/03/2021;NO;SANTANDER
