Muestra,TipoDI,Garantia,EstadoActual,Cobertura,Producto,Intermediario,ValorDesembolso,SaldoCredito,SaldoGarantizado,Incumplimiento,FechaAnulacion,Reactivacion,Ciudad,%Comision,TotalComision
1 Muestra,Periodicas,5589361,Anulada,80,EMP201 UNIDOS POR COLOMBIA PYMES AL 80%,BANCOLOMBIA,179000000,89500000,71600000,Periodo de gracia no cumple con los requisitos exigidos,44260,NO,BOGOTA,1.97,4196297
1 Muestra,Periodicas,5590244,Anulada,80,EMP201 UNIDOS POR COLOMBIA PYMES AL 80%,BANCOLOMBIA,200000000,11032021,8825617,No presenta Soporte Art 311,44260,NO,ANTIOQUIA,1.97,4688600
1 Muestra,Periodicas,6119931,Anulada,80,EMP203 UNIDOS POR COLOMBIA TRABINDEPAL 80%,BANCOLOMBIA,1229640,1229640,983712,No presenta soporte documental de pago PILA,44001,NO,BOGOTA,2.47,36143
1 Muestra,Periodicas,5652251,Anulada,90,EMP202 UNIDOS POR COLOMBIA NOMINAS PYMES AL 90%,BANCOLOMBIA,3854969,3469475,3122528,No presenta soporte documental comisión ,44260,NO,ANTIOQUIA,2.72,124778
1 Muestra,Periodicas,5757640,Anulada,90,EMP202 UNIDOS POR COLOMBIA NOMINAS PYMES AL 90%,BANCOLOMBIA,18250000,4369699,3932729,No presenta soporte documental de pago PILA,44260,NO,MAGDALENA,2.72,590716
1 Muestra,Periodicas,5688505,Anulada,80,EMP201 UNIDOS POR COLOMBIA PYMES AL 80%,BANCOLOMBIA,12300000,12297974,9838379,No presenta Soporte Art 311,44260,NO,ANTIOQUIA,1.97,288349
1 Muestra,Periodicas,5731697,Anulada,80,EMP203 UNIDOS POR COLOMBIA TRABINDEPAL 80%,BANCOLOMBIA,14500000,14440151,11552121,No presenta soporte documental de pago PILA,44295,NO,NARIÑO,2.47,426199
1 Muestra,Periodicas,6117469,Anulada,70,EMP219 UNIDOS POR COLOMBIA MICRO AL 70%,BANCOLOMBIA,5000000,3749335,2624535,No presenta Soporte Art 311,44286,NO,META,1.97,117215
1 Muestra,Periodicas,5930623,Extinguida - Saldada,80,EMP201 UNIDOS POR COLOMBIA PYMES AL 80%,BANCOLOMBIA,275610750,35000,28000,No presenta Soporte Art 311,44286,Si,VALLE,1.97,6461143
1 Muestra,Periodicas,5815558,Anulada,90,EMP202 UNIDOS POR COLOMBIA NOMINAS PYMES AL 90%,BANCOLOMBIA,19531250,11032021,9928819,No presenta soporte documental de pago PILA,44260,NO,BOGOTA,2.72,632188
1 Muestra,Periodicas,6676704,Anulada,80,EMP201 UNIDOS POR COLOMBIA MED EMPRESA AL 80%,BANCOLOMBIA,30000000,11032021,8825617,Incumplimiento en tamaño del deudor,44260,NO,ANTIOQUIA,1.97,703290
1 Muestra,Periodicas,5758712,Anulada,90,EMP202 UNIDOS POR COLOMBIA NOMINAS PYMES AL 90%,BANCOLOMBIA,10000000,9000001,8100001,No presenta soporte documental de pago PILA,44260,NO,ANTIOQUIA,2.72,323680
1 Muestra,Periodicas,5802824,Anulada,90,EMP202 UNIDOS POR COLOMBIA NOMINAS PYMES AL 90%,BANCOLOMBIA,15725000,11032021,9928819,No presenta soporte documental de pago PILA,44260,NO,VALLE,2.72,508987
1 Muestra,Periodicas,5757047,Anulada,90,EMP202 UNIDOS POR COLOMBIA NOMINAS PYMES AL 90%,BANCOLOMBIA,10544210,9688557,8719701,No presenta Soporte Art 311,44260,NO,ATLANTICO,2.72,341295
1 Muestra,Periodicas,5639196,Anulada,90,EMP202 UNIDOS POR COLOMBIA NOMINAS PYMES AL 90%,BANCOLOMBIA,89000000,86033334,77430001,No presenta soporte documental de pago PILA,44260,NO,SANTANDER,2.72,2880752
1 Muestra,Periodicas,5619413,Anulada,90,EMP202 UNIDOS POR COLOMBIA NOMINAS PYMES AL 90%,BANCOLOMBIA,14400000,11032021,9928819,No presenta soporte documental de pago PILA,44260,NO,BOGOTA,2.72,466099
1 Muestra,Periodicas,6138146,Vigente,50,EMP023 MICROCREDITO EMPRESARIAL ,BANCO AGRARIO,17600000,9428560,4714280,Amortizacion no autorizada,44693,Si,BOYACA,7.42,1554045
1 Muestra,Periodicas,6223834,Vigente,50,EMP075 REPOSICION PARQUE AUTOMOTOR CREDITO*,BANCO DAVIVIENDA,307603236,228139887,114069944,No presenta soporte registro runt,44260,Si,BOGOTA,8.19,29979319
1 Muestra,Periodicas,6223826,Vigente,50,EMP075 REPOSICION PARQUE AUTOMOTOR CREDITO*,BANCO DAVIVIENDA,411433832,292738500,146369250,No presenta soporte registro runt,44081,Si,BOGOTA,8.19,40098753
1 Muestra,Periodicas,5929517,Vigente,50,EMP075 REPOSICION PARQUE AUTOMOTOR CREDITO*,BANCO DAVIVIENDA,151451464,108823788,54411894,No presenta soporte registro runt,44029,Si,ANTIOQUIA,9.25,16671020
1 Muestra,Periodicas,5568789,Vigente,50,EMP076 REPOSICION PARQUE AUTOMOTOR LEASING*,BANCO DAVIVIENDA,436024066,233669870,116834935,No presenta soporte registro runt,44260,Si,CUNDINAMARCA,9.25,47995349
1 Muestra,Periodicas,5844659,Vigente,50,EMP076 REPOSICION PARQUE AUTOMOTOR LEASING*,BANCO DAVIVIENDA,478281260,350863885,175431943,No presenta soporte registro runt,44260,Si,NORTE SANTANDER,9.25,52646810
1 Muestra,Periodicas,5565900,Vigente,50,EMP076 REPOSICION PARQUE AUTOMOTOR LEASING*,BANCO DAVIVIENDA,275203450,225890973,112945487,No presenta soporte registro runt,44260,Si,BOGOTA,8.61,28197070
1 Muestra,Periodicas,5551269,Vigente,50,EMP076 REPOSICION PARQUE AUTOMOTOR LEASING*,BANCO DAVIVIENDA,360297989,282422632,141211316,No presenta soporte registro runt,44260,Si,META,9.53,40860314
1 Muestra,Periodicas,5525345,Vigente,50,EMP076 REPOSICION PARQUE AUTOMOTOR LEASING*,BANCO DAVIVIENDA,512005926,451056023,225528012,No presenta soporte registro runt,44260,Si,SANTANDER,11.34,69093152
1 Muestra,Periodicas,5844332,Vigente,50,EMP076 REPOSICION PARQUE AUTOMOTOR LEASING*,BANCO DAVIVIENDA,513430996,405560307,202780154,No presenta soporte registro runt,44260,Si,BOGOTA,10.31,62992335
1 Muestra,Periodicas,6586172,Anulada,80,EMP201 UNIDOS POR COLOMBIA MED EMPRESA AL 80%,BANCO DAVIVIENDA,53000000,53000000,42400000,Incumplimiento en tamaño del deudor,44286,NO,VALLE,3.9,1948863
1 Muestra,Periodicas,5861451,Anulada,90,EMP202 UNIDOS POR COLOMBIA NOMINAS PYMES AL 90%,BANCO DAVIVIENDA,18885856,11309628,10178665,No presenta soporte documental de pago PILA,44286,NO,BOGOTA,4.26,957400
1 Muestra,Periodicas,5732047,Anulada,90,EMP202 UNIDOS POR COLOMBIA NOMINAS PYMES AL 90%,BANCO DAVIVIENDA,34353124,34353124,30917812,No presenta soporte documental de pago PILA,44138,NO,BOGOTA,4.26,1741497
1 Muestra,Periodicas,5707294,Anulada,80,EMP203 UNIDOS POR COLOMBIA TRABINDEPAL 80%,BANCO DAVIVIENDA,9500000,6206675,4965340,Periodo de gracia no cumple con los requisitos exigidos,44260,NO,BOGOTA,3.12,352716
1 Muestra,Periodicas,6133320,Anulada,80,EMP203 UNIDOS POR COLOMBIA TRABINDEPAL 80%,BANCO DAVIVIENDA,10000000,7889367,6311494,Periodo de gracia no cumple con los requisitos exigidos,44260,NO,BOGOTA,3.17,377230
1 Muestra,Periodicas,5764920,Anulada,80,EMP203 UNIDOS POR COLOMBIA TRABINDEPAL 80%,BANCO DAVIVIENDA,7000000,4908946,3927157,Periodo de gracia no cumple con los requisitos exigidos,44260,NO,BOGOTA,3.17,264061
1 Muestra,Periodicas,6101068,Anulada,80,EMP203 UNIDOS POR COLOMBIA TRABINDEPAL 80%,BANCO DAVIVIENDA,5000000,3669095,2935276,Periodo de gracia no cumple con los requisitos exigidos,44260,NO,BOGOTA,3.17,188615
1 Muestra,Periodicas,6342068,Anulada,80,EMP203 UNIDOS POR COLOMBIA TRABINDEPAL 80%,BANCO FALABELLA SA,1200000,1137625,910100,Incumplimiento en tamaño del deudor,44260,NO,ANTIOQUIA,3.17,45268
1 Muestra,Periodicas,5975814,Anulada,80,EMP203 UNIDOS POR COLOMBIA TRABINDEPAL 80%,ITAU,3388619,3163484,2530787,Incumplimiento en tamaño del deudor,44260,NO,CUNDINAMARCA,3.17,127829
1 Muestra,Periodicas,6410391,Anulada,80,EMP203 UNIDOS POR COLOMBIA TRABINDEPAL 80%,BANCO SERFINANZA SA,20000000,11032021,8825617,No presenta soporte documental de pago PILA,44260,NO,ATLANTICO,2.47,587860
1 Muestra,Periodicas,6409655,Anulada,75,EMP225 UNIDOS POR COLOMBIA MICRO AL 75%,BANCO W SA,3233376,3233376,2425032,Incumplimiento en tamaño del deudor,44260,NO,RISARALDA,16.22,624100
1 Muestra,Periodicas,6288096,Anulada,60,EMP226 UNIDOS POR COLOMBIA MICRO INFORMALES 60%,BANCO W SA,3033376,3033376,1820026,Consolidacion de pasivos no permitida,44286,NO,RISARALDA,2.44,88077
1 Muestra,Periodicas,6540584,Anulada,60,EMP226 UNIDOS POR COLOMBIA MICRO INFORMALES 60%,BANCO W SA,1515103,1515103,909062,Consolidacion de pasivos no permitida,44260,NO,CESAR,2.33,42009
1 Muestra,Periodicas,6132046,Anulada,75,EMP225 UNIDOS POR COLOMBIA MICRO AL 75%,BANCO W SA,10589268,10507255,7880441,Consolidacion de pasivos no permitida,44001,NO,VALLE,17.69,2229157
1 Muestra,Periodicas,6549621,Extinguida - Saldada,50,EMP023 MICROCREDITO EMPRESARIAL ,CONTACTAR,1159680,336277,168139,Comisión no permitida,44260,Si,NARIÑO,4.1,56581
1 Muestra,Periodicas,6260067,Anulada,70,EMP219 UNIDOS POR COLOMBIA MICRO AL 70%,CONTACTAR,12264472,789585,552710,Incumplimiento en tamaño del deudor,44286,NO,NARIÑO,3.9,450977
1 Muestra,Periodicas,6308572,Anulada,70,EMP219 UNIDOS POR COLOMBIA MICRO AL 70%,CONTACTAR,1165731,1099803,769862,Incumplimiento en tamaño del deudor,44203,NO,NARIÑO,2.7,28715
1 Muestra,Periodicas,6271005,Anulada,70,EMP219 UNIDOS POR COLOMBIA MICRO AL 70%,CONTACTAR,6619048,5569427,3898599,Incumplimiento en el requisito de altura de mora,44203,NO,NARIÑO,2.35,185102
